item,serial_number,Model,appraisal_value,item_description,category,remarks
architecture,2638758841,extranet,7912,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,1,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet
framework,4273792788,grid-enabled,9550,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,2,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
discrete,9117966825,Function-based,4618,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,3,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque
encryption,7781524888,benchmark,9335,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,3,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat
next generation,6014789375,definition,35183,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,3,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est
explicit,0324260067,global,3836,accumsan tortor quis turpis sed ante vivamus tortor duis mattis,4,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
executive,4893418750,optimizing,44651,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,2,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
ability,7817983879,Horizontal,40445,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,5,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
Polarised,7703818992,Polarised,28457,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,1,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
solution,4430199671,Programmable,24132,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,1,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci
info-mediaries,3675220222,dynamic,30270,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,2,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id
interface,6059774792,Front-line,40015,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,2,sed augue aliquam erat volutpat in congue etiam justo etiam pretium
homogeneous,7588572205,Graphic Interface,12498,dapibus dolor vel est donec odio justo sollicitudin ut suscipit,3,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget
systemic,4147444288,neutral,25985,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,4,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
didactic,8303357794,Virtual,48770,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,5,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac
secured line,9130360617,extranet,33069,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,1,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla
algorithm,2790853428,Integrated,40498,lobortis sapien sapien non mi integer ac neque duis bibendum,4,lobortis est phasellus sit amet erat nulla tempus vivamus in felis
upward-trending,0758397429,workforce,41208,erat id mauris vulputate elementum nullam varius nulla facilisi cras non,1,eu sapien cursus vestibulum proin eu mi nulla ac enim
throughput,3724260431,Decentralized,31321,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,5,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate
paradigm,0793080428,capability,2420,tincidunt eget tempus vel pede morbi porttitor lorem id ligula,5,lobortis est phasellus sit amet erat nulla tempus vivamus in
logistical,7299162172,didactic,19543,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,1,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
value-added,2280634082,archive,41332,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,5,volutpat in congue etiam justo etiam pretium iaculis justo in hac
extranet,4560498822,mobile,6887,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,1,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
Customizable,4901299808,Multi-layered,41719,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,1,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
moratorium,0445015152,Versatile,21652,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,1,at nibh in hac habitasse platea dictumst aliquam augue quam
hub,3744430588,high-level,38451,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,1,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis
Switchable,1614100160,Down-sized,5476,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,5,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
methodical,0593274679,ability,21808,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,4,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc
mobile,8706183964,Mandatory,13109,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,3,vel augue vestibulum ante ipsum primis in faucibus orci luctus et
Multi-layered,3378580259,motivating,15872,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,4,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor
forecast,8752768139,Expanded,37468,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,1,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
client-server,4460034387,hybrid,44366,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,2,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
Future-proofed,0121819124,Balanced,18011,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,4,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
structure,4657365894,definition,1605,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,4,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
pricing structure,6629834151,utilisation,37133,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,5,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit
multimedia,3705865242,adapter,49774,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,1,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
scalable,7755955761,Open-architected,36613,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,2,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
uniform,3523700841,background,14592,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,4,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
cohesive,3265562646,core,28526,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,1,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
Operative,4248848465,Robust,9421,ligula sit amet eleifend pede libero quis orci nullam molestie nibh,3,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
adapter,5374603574,matrices,2244,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,3,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
implementation,1858090865,time-frame,30379,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,1,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
disintermediate,9796699079,extranet,36421,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,5,venenatis non sodales sed tincidunt eu felis fusce posuere felis
groupware,6079012235,Quality-focused,1370,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,2,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
implementation,8496699455,methodical,48161,sollicitudin mi sit amet lobortis sapien sapien non mi integer,3,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
Centralized,7154276967,hybrid,19365,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,1,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor
Customer-focused,4805767537,non-volatile,38966,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,4,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut
Cross-platform,1859693326,heuristic,44403,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,2,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
internet solution,6144445730,zero defect,39551,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,4,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
context-sensitive,6053495352,structure,10238,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,1,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non
multi-tasking,9883996144,optimal,38216,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,3,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat
Monitored,1824802498,Front-line,30980,at velit eu est congue elementum in hac habitasse platea,1,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris
logistical,1023578484,6th generation,4770,blandit lacinia erat vestibulum sed magna at nunc commodo placerat,4,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl
interactive,3491299454,productivity,33194,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis,1,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
eco-centric,9685912149,4th generation,27040,donec ut dolor morbi vel lectus in quam fringilla rhoncus,3,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
Sharable,5467033522,Intuitive,38773,dui proin leo odio porttitor id consequat in consequat ut nulla,4,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero
Cross-platform,1389224422,Graphic Interface,31623,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,2,ipsum integer a nibh in quis justo maecenas rhoncus aliquam
bi-directional,9028542124,Cross-platform,22308,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,5,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
Profit-focused,3893719571,Versatile,20763,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,3,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
fault-tolerant,4089324653,benchmark,27843,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
challenge,4681508764,Reactive,8187,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,4,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
circuit,1257757067,zero defect,29471,metus vitae ipsum aliquam non mauris morbi non lectus aliquam,4,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
pricing structure,0668548258,firmware,41748,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,4,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
Synergistic,0026007096,transitional,43941,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,5,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
mission-critical,6942546534,time-frame,42254,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,3,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
Optimized,7544956342,attitude,22868,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,2,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
solution,4769739230,standardization,17751,congue eget semper rutrum nulla nunc purus phasellus in felis donec,5,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed
benchmark,5959965194,groupware,11699,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,3,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
multimedia,7121034433,initiative,6326,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,2,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
tertiary,3924091617,Virtual,40999,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,1,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus
tertiary,2586853741,Optimized,40784,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,5,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
Assimilated,8253718454,didactic,14427,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,5,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
incremental,9441785628,scalable,11105,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,3,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt
optimal,6570118250,5th generation,6958,id nisl venenatis lacinia aenean sit amet justo morbi ut,5,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas
neutral,4525262613,alliance,10717,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,2,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue
reciprocal,9955534257,neutral,2071,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,3,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
success,8192470539,modular,1340,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,4,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
ability,7853640447,grid-enabled,33878,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,5,leo odio porttitor id consequat in consequat ut nulla sed accumsan
model,8431125551,moratorium,49717,pretium quis lectus suspendisse potenti in eleifend quam a odio,4,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque
exuding,2642724948,installation,39448,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,2,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna
monitoring,4055194080,intranet,41721,sed vel enim sit amet nunc viverra dapibus nulla suscipit,1,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra
discrete,0524486522,methodology,47342,fusce posuere felis sed lacus morbi sem mauris laoreet ut,4,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus
bottom-line,2008002691,object-oriented,39523,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,2,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla
Devolved,1272584194,system-worthy,47074,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,2,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
reciprocal,5955357882,Configurable,1347,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,3,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
value-added,5346229272,core,6849,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,5,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
user-facing,4460976048,process improvement,14394,semper sapien a libero nam dui proin leo odio porttitor id consequat in,2,felis ut at dolor quis odio consequat varius integer ac leo
zero tolerance,6967904388,concept,24739,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,5,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
attitude,1822127378,hybrid,3437,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,4,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
local,9149832972,function,25391,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,4,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
exuding,9668895649,upward-trending,47217,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,2,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
Down-sized,9051026811,didactic,17735,blandit mi in porttitor pede justo eu massa donec dapibus,1,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
zero tolerance,4754628934,Reactive,20575,id ligula suspendisse ornare consequat lectus in est risus auctor,3,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
model,2679009096,Digitized,27129,non lectus aliquam sit amet diam in magna bibendum imperdiet,3,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
holistic,5249695140,Ergonomic,33567,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,5,risus auctor sed tristique in tempus sit amet sem fusce
well-modulated,2244427641,customer loyalty,33281,suspendisse ornare consequat lectus in est risus auctor sed tristique in,3,proin leo odio porttitor id consequat in consequat ut nulla
Triple-buffered,7956365945,Implemented,43290,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,3,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices
Robust,0593786750,budgetary management,28856,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,5,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
even-keeled,8072863797,Profound,31621,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,1,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
matrices,2680326520,Distributed,37663,lacus at turpis donec posuere metus vitae ipsum aliquam non,2,volutpat erat quisque erat eros viverra eget congue eget semper
stable,6321930903,Fundamental,24989,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,1,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat
Digitized,9678052628,Grass-roots,27160,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,1,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate
interactive,4404712774,system engine,34052,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,4,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien
bandwidth-monitored,6097641591,real-time,19627,sollicitudin ut suscipit a feugiat et eros vestibulum ac est,3,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
Organized,2607319374,heuristic,27693,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,3,eget nunc donec quis orci eget orci vehicula condimentum curabitur in
attitude,7589270334,attitude-oriented,33779,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,3,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
migration,0936268468,parallelism,17803,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,1,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi
Compatible,5053808090,6th generation,16840,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,2,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
asynchronous,3471068295,analyzing,23566,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,5,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
intranet,0940687208,portal,4739,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,2,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
solution,0809330083,definition,46706,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,3,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat
background,5950118952,knowledge base,20569,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,5,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor
Inverse,4015047583,Realigned,14287,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,3,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
high-level,3659601144,Reduced,25926,malesuada in imperdiet et commodo vulputate justo in blandit ultrices,3,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio
throughput,2899484303,capacity,43057,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,3,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
intranet,9026244703,Down-sized,9635,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,4,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla
collaboration,0113408781,Sharable,26185,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,4,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla
leading edge,8379967461,clear-thinking,23454,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,5,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
contingency,8428881782,Devolved,7445,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,5,eu sapien cursus vestibulum proin eu mi nulla ac enim
zero administration,1300372133,archive,36322,eu massa donec dapibus duis at velit eu est congue elementum in hac,3,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat
web-enabled,5266820969,holistic,32917,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,3,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet
Phased,4601719143,upward-trending,17954,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,3,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
toolset,5682759176,Self-enabling,25803,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,4,ante ipsum primis in faucibus orci luctus et ultrices posuere
web-enabled,7253243528,even-keeled,48673,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,2,mauris morbi non lectus aliquam sit amet diam in magna bibendum
Graphical User Interface,0571836992,interface,22032,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,5,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui
static,2958222098,adapter,28278,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,1,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
clear-thinking,2856006809,Fully-configurable,12199,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,3,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id
contingency,7530737279,Grass-roots,28679,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,3,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
cohesive,9989700753,client-driven,6133,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,4,semper est quam pharetra magna ac consequat metus sapien ut nunc
local area network,0829408991,structure,3665,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,5,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
productivity,9476599782,modular,19579,ac nibh fusce lacus purus aliquet at feugiat non pretium quis,1,cursus vestibulum proin eu mi nulla ac enim in tempor
transitional,3527125167,Persistent,48043,sed magna at nunc commodo placerat praesent blandit nam nulla integer,4,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
Graphical User Interface,5272025989,Decentralized,37997,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,3,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula
mission-critical,0529189070,full-range,36222,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,5,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
neutral,4453750218,structure,13386,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,4,proin risus praesent lectus vestibulum quam sapien varius ut blandit non
Reactive,2291483617,monitoring,1127,purus sit amet nulla quisque arcu libero rutrum ac lobortis,3,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
protocol,9525607461,analyzing,33010,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,1,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
flexibility,5357331790,Synergistic,26025,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,4,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
impactful,2815426803,Cross-platform,38767,amet lobortis sapien sapien non mi integer ac neque duis bibendum,5,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
Graphical User Interface,7174136311,Sharable,48926,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,3,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
info-mediaries,5118097312,Down-sized,18216,nibh fusce lacus purus aliquet at feugiat non pretium quis,1,primis in faucibus orci luctus et ultrices posuere cubilia curae
asymmetric,4215037093,Grass-roots,3359,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,3,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
Fully-configurable,6700195942,website,14205,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,2,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
Robust,3713409234,Customer-focused,19790,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,1,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
actuating,0153976578,Streamlined,47808,elit proin interdum mauris non ligula pellentesque ultrices phasellus id,2,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
synergy,9821062709,Implemented,4940,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,4,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
Centralized,7135902831,process improvement,32406,purus phasellus in felis donec semper sapien a libero nam dui proin leo,1,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
upward-trending,3325207375,zero tolerance,2785,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,3,donec semper sapien a libero nam dui proin leo odio porttitor
contingency,8987813932,upward-trending,8414,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,1,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
neutral,1616811862,Profit-focused,11688,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,2,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
Down-sized,4558606672,open system,30535,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,1,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
moderator,0968500528,24 hour,7400,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,3,eget eros elementum pellentesque quisque porta volutpat erat quisque erat
multimedia,5204738630,productivity,7418,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,5,ac leo pellentesque ultrices mattis odio donec vitae nisi nam
encryption,0930572971,product,21726,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,1,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
motivating,9713010345,Persistent,31902,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,3,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
